name,availability,years_present,n_years,build_action,rule
PRALBUM,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRALKPH,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRBILI,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRBUN,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRCREAT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRHCT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRINR,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRNCPTX,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRPLATE,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRPTT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRSEPIS,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRSGOT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRSODM,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
PRWBC,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
RACE_NEW,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
SEX,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
SMOKE,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
STEROID,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
SURGSPEC,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
TRANSFUS,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
TRANST,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
VENTILAT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
WEIGHT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
WORKRVU,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRHEMOGLOBIN,absent in some years,"2023,2024",2,missing years left as NaN,
DPRHEMO_A1C,absent in some years,"2023,2024",2,missing years left as NaN,
DPRPT,absent in some years,"2018,2019,2020",3,missing years left as NaN,
DYSPNEA,absent in some years,"2018,2019,2020",3,missing years left as NaN,
HOMESUP,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
HXDEMENTIA,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
HXFALL,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
IMMUNO_CAT,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
OXYGEN_SUPPORT,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
PREOP_COVID,absent in some years,"2021,2022,2023,2024",4,missing years left as NaN,
PREOP_CREAT_MSINCR,absent in some years,"2022,2023,2024",3,missing years left as NaN,
PRPT,absent in some years,"2018,2019,2020",3,missing years left as NaN,
RENAFAIL,absent in some years,"2018,2019,2020,2022,2023,2024",6,missing years left as NaN,
WNDINF,absent in some years,"2018,2019,2020",3,missing years left as NaN,
WTLOSS,absent in some years,"2018,2019,2020",3,missing years left as NaN,
CASETYPE,partially derivable,"2021,2022,2023,2024",4,missing years approximated by rule,"For 2018-2020, back-fill from EMERGNCY (Yes -> Emergent, No -> Elective) and ELECTSURG. NOT verifiable against data: no year contains both CASETYPE and EMERGNCY, so the mapping is a convention, not a measured equivalence. This is what all_puf_split/build_dataset.py already does to create `case_type`. Urgent cannot be recovered for 2018-2020."
ELECTSURG,partially derivable,"2018,2019,2020",3,missing years approximated by rule,"For 2021+, derive from CASETYPE (Elective -> Yes, otherwise No). Same unverifiable-convention caveat as CASETYPE."
EMERGNCY,partially derivable,"2018,2019,2020",3,missing years approximated by rule,"For 2021+, derive from CASETYPE (Emergent -> Yes, otherwise No). Same unverifiable-convention caveat as CASETYPE."
PRHEMOGLOBIN,partially derivable,"2023,2024",2,missing years approximated by rule,"Approximable from PRHCT, which is present in all 7 years: PRHEMOGLOBIN = 0.344 * PRHCT -0.56, fitted on 169,354 2023 pairs: R2 = 0.74, median absolute error 0.33, 90th percentile 0.83. Good enough to impute a level, not to reproduce the exact value."
HEMO,fully derivable,"2021,2022",2,missing years derived by rule,"See PRHEMO_A1C: HEMO is the 2021-2022 name for the same measurement. HEMO in 2022 has median 5.9 (5th-95th pct 5.0-8.9) and PRHEMO_A1C in 2023 has median 5.8 (4.9-8.6) -- the same HbA1c% scale; PRHEMOGLOBIN sits at median 13.2 (9.3-15.9), a different measurement entirely. So HEMO is HbA1c, not haemoglobin"
PRHEMO_A1C,fully derivable,"2023,2024",2,missing years derived by rule,"For 2021-2022, back-fill from HEMO. VERIFIED by value distribution rather than assumed: HEMO in 2022 has median 5.9 (5th-95th pct 5.0-8.9) and PRHEMO_A1C in 2023 has median 5.8 (4.9-8.6) -- the same HbA1c% scale; PRHEMOGLOBIN sits at median 13.2 (9.3-15.9), a different measurement entirely. So HEMO is HbA1c, not haemoglobin. This is what all_puf_split/build_dataset.py already does to create `hba1c`."
